Departamento;COD_DANE_MUNICIPIO;MUNICIPIO
Córdoba;23466;Montelíbano
Córdoba;23162;Cerete
Córdoba;23815;Tuchín
Córdoba;23580;Puerto Libertador
Córdoba;23555;Planeta Rica
Córdoba;23419;Los Córdobas
Córdoba;23672;San Antero
Córdoba;23182;Chinu
Córdoba;23189;Cienaga De Oro
Córdoba;23807;Tierralta
Córdoba;23464;Momil
Córdoba;23586;Purísima
Córdoba;23068;Ayapel
Córdoba;23855;Valencia
Córdoba;23500;Moñitos
Córdoba;23675;San Bernardo Del Viento
Córdoba;23350;La Apartada
Córdoba;23682;San José de Uré
Córdoba;23670;San Andrés de Sotavento
Córdoba;23686;San Pelayo
Córdoba;23678;San Carlos
Córdoba;23079;Buenavista
Córdoba;23300;Cotorra
Córdoba;23090;Canalete
Córdoba;23570;Pueblo Nuevo
Córdoba;23574;Puerto Escondido
Córdoba;23168;Chimá
